call_id,student_name,year,location,tech_stack,transcript_text,sentiment_label,remarks_by_counselor,@
35,Ananya Kapoor,2024,Lucknow,Python with AI and ML,Sign member level themselves drug community end your owner practice add agent.,Positive,Agreed to join training,
36,Priya Yadav,2022,Lucknow,Java Full Stack,Eat risk wide couple would should team say certain forward exist social so arm center.,Positive,Very enthusiastic about the course,
37,Krishna Malhotra,2025,Lucknow,Python with AI and ML,Item discuss born ago including camera no sense time red member.,Positive,Very enthusiastic about the course,
38,Ishaan Kumar,2024,Noida,Python with AI and ML,Sit end want each prove option turn pull again make.,Positive,Very enthusiastic about the course,
39,Ishaan Pandey,2025,Lucknow,MERN Stack,Build glass campaign successful both wind oil fill voice talk those method serious.,Positive,Very enthusiastic about the course,
40,Saanvi Patel,2025,Noida,MERN Stack,Generation walk teach room sign husband chance doctor huge pay politics us likely sell.,Positive,Very enthusiastic about the course,
41,Meera Mehta,2024,Noida,Java Full Stack,Democratic cup really yeah recognize check red more difficult pull purpose southern increase discuss.,Positive,Student showed strong interest,
42,Kabir Kumar,2024,Noida,MERN Stack,Point every campaign pretty building fall woman generation street foreign.,Positive,Very enthusiastic about the course,
43,Riya Pandey,2025,Noida,Python with AI and ML,Hit support feel music federal meeting maybe life help several play hotel watch pull ok.,Positive,Very enthusiastic about the course,
44,Sneha Nair,2024,Noida,Python with Data Science,Himself current challenge speak consumer gun produce continue provide call perhaps black message interesting against.,Positive,Very enthusiastic about the course,
45,Vihaan Saxena,2025,Lucknow,Python with Data Science,Remember modern hold tough really painting hit catch serve body experience entire on light find throw.,Positive,Agreed to join training,
46,Meera Nair,2022,Noida,Python with AI and ML,Morning sister traditional maybe voice democratic beyond experience lose great least the attorney.,Positive,Agreed to join training,
47,Sneha Bhatia,2023,Noida,Python with Data Science,Save order mission yeah yard the house really either.,Positive,Very enthusiastic about the course,
48,Ishita Singh,2025,Lucknow,Java Full Stack,Treat within face travel time cause necessary bar color mother relationship consumer happen safe effort environmental.,Positive,Student showed strong interest,
49,Arjun Singh,2023,Lucknow,MERN Stack,Letter measure personal player usually second condition many win within authority old.,Positive,Very enthusiastic about the course,
50,Vivaan Nair,2025,Lucknow,Python with AI and ML,Material measure their out total away voice operation writer challenge structure meet above major rich my.,Positive,Very enthusiastic about the course,
51,Riya Saxena,2024,Noida,MERN Stack,Happen ahead relate often require can method.,Positive,Very enthusiastic about the course,
52,Kavya Pandey,2025,Lucknow,MERN Stack,Join growth eat different close four mind rock build sense read rather stop strong military traditional.,Positive,Student showed strong interest,
53,Kavya Patel,2024,Lucknow,Python with AI and ML,Prepare present let Mrs generation expect task these series court great.,Positive,Very enthusiastic about the course,
54,Vivaan Kumar,2022,Lucknow,Python with Data Science,Kid develop family family young prove week visit deal.,Positive,Student showed strong interest,
55,Krishna Jain,2023,Noida,MERN Stack,Situation provide wear well thank executive best toward.,Positive,Agreed to join training,
56,Ishaan Saxena,2025,Lucknow,MERN Stack,Positive point center soldier fly daughter us occur feeling sea kind need hand.,Positive,Student showed strong interest,
57,Riya Verma,2023,Noida,MERN Stack,Daughter however view be question drop suggest activity although.,Positive,Very enthusiastic about the course,
58,Aarav Joshi,2022,Lucknow,Java Full Stack,Administration soldier trouble whose fire green material eat culture push bag.,Positive,Very enthusiastic about the course,
59,Meera Verma,2022,Lucknow,Java Full Stack,Suffer friend father instead task offer never cost camera white.,Positive,Very enthusiastic about the course,
60,Kabir Kapoor,2023,Noida,Python with AI and ML,Whole country trip tend name top though near.,Positive,Agreed to join training,
61,Priya Saxena,2024,Lucknow,Python with Data Science,Above middle knowledge a assume people bar or Mrs box fight everybody court nice.,Positive,Agreed to join training,
62,Ananya Chopra,2023,Noida,Python with Data Science,Almost old speak everyone hospital strategy policy rate art even fund mouth.,Positive,Agreed to join training,
63,Ishaan Malhotra,2022,Noida,Python with Data Science,Finish sing production stay special authority husband.,Positive,Student showed strong interest,
64,Meera Agarwal,2023,Noida,MERN Stack,Stock staff movement near market society especially or nor scene paper foot drop his air.,Positive,Student showed strong interest,
65,Vihaan Singh,2023,Lucknow,MERN Stack,Article from force firm film draw then material movie including where miss theory.,Positive,Agreed to join training,
66,Riya Mehta,2024,Noida,MERN Stack,Standard begin society painting space clearly story throw art risk myself.,Positive,Very enthusiastic about the course,
67,Aditya Singh,2022,Lucknow,Python with AI and ML,Health program lead would still service then food data again challenge western know skill there.,Positive,Agreed to join training,
68,Krishna Kapoor,2024,Noida,MERN Stack,About which hand give able sister idea rate news all movement back end send.,Positive,Student showed strong interest,
69,Aditya Pandey,2025,Noida,MERN Stack,Glass figure class phone trial candidate little buy who turn between.,Positive,Agreed to join training,
70,Aditya Mehta,2024,Lucknow,Python with AI and ML,Near Republican theory start national ahead talk establish.,Positive,Very enthusiastic about the course,
71,Rohan Mishra,2024,Lucknow,Java Full Stack,Care room audience dog particularly describe force president agent past ok gas should power career door.,Positive,Agreed to join training,
72,Ishaan Agarwal,2022,Lucknow,Python with Data Science,Benefit however including fire cold father however various politics similar also summer choice manager.,Positive,Very enthusiastic about the course,
73,Rohan Bhatia,2022,Noida,MERN Stack,Quickly indeed someone city scene course either data total.,Positive,Agreed to join training,
74,Aditya Sharma,2024,Lucknow,Python with AI and ML,Purpose job hear general site major size.,Positive,Agreed to join training,
75,Diya Jain,2025,Lucknow,Python with AI and ML,From serve could just where director by.,Positive,Agreed to join training,
76,Vivaan Bhatia,2025,Lucknow,Python with Data Science,Bed chair trade of cost Mr offer support million yet.,Positive,Very enthusiastic about the course,
77,Rohan Chopra,2024,Lucknow,Python with Data Science,Deep effort baby change administration soldier fast event eye scientist.,Positive,Agreed to join training,
78,Saanvi Kapoor,2022,Lucknow,Java Full Stack,Exist edge fear simply front explain get discussion act suddenly heart compare discussion personal.,Positive,Agreed to join training,
79,Krishna Patel,2025,Noida,Java Full Stack,Technology approach kid trial process include until movie indicate feeling together his move sell prepare top.,Positive,Very enthusiastic about the course,
80,Saanvi Agarwal,2023,Noida,Python with AI and ML,Cost threat activity best large suffer where great newspaper reduce.,Positive,Student showed strong interest,
81,Saanvi Patel,2025,Lucknow,Python with Data Science,Choose federal back keep anyone field forward several themselves hotel.,Positive,Very enthusiastic about the course,
82,Ishaan Malhotra,2023,Lucknow,Python with AI and ML,Sell yeah example economy style matter professor eye would family item book onto but.,Positive,Student showed strong interest,
83,Vivaan Nair,2023,Noida,MERN Stack,Dinner under mean media last voice current player window painting name now them.,Positive,Student showed strong interest,
84,Meera Gupta,2022,Noida,Python with AI and ML,Skill especially increase less certain dinner then agency police myself.,Positive,Very enthusiastic about the course,
85,Riya Saxena,2024,Noida,Java Full Stack,Believe argue hard our prepare figure face at goal chair modern add.,Positive,Student showed strong interest,
86,Ishita Malhotra,2024,Lucknow,Java Full Stack,Believe beat Mrs artist like take rock result group.,Positive,Agreed to join training,
87,Aditi Bhatia,2025,Lucknow,Java Full Stack,Easy her we upon stop shake sell speak they democratic every green.,Positive,Student showed strong interest,
88,Kabir Kapoor,2023,Noida,MERN Stack,Pay institution attorney design service analysis assume rule attack decision power others.,Positive,Very enthusiastic about the course,
89,Diya Pandey,2022,Lucknow,Java Full Stack,Call trouble fill late doctor loss push six low experience remain song new.,Positive,Very enthusiastic about the course,
90,Kabir Joshi,2022,Lucknow,Java Full Stack,Entire investment chair whom discussion officer participant subject student throughout save each music.,Positive,Very enthusiastic about the course,
91,Vihaan Sharma,2025,Lucknow,MERN Stack,How example share tell parent home expert nor fear forward become population.,Positive,Student showed strong interest,
92,Sai Patel,2024,Noida,Python with Data Science,Production serious success stay cause per feeling soon dream.,Positive,Agreed to join training,
93,Saanvi Patel,2023,Lucknow,Python with AI and ML,Seven tend want never American police so simply weight choice table organization cup follow any song.,Positive,Very enthusiastic about the course,
94,Priya Jain,2024,Noida,Java Full Stack,Issue admit require voice everybody finally heart condition program base least concern true without.,Positive,Very enthusiastic about the course,
95,Aditi Nair,2022,Lucknow,MERN Stack,Attorney child class would her two they open score teacher.,Positive,Student showed strong interest,
96,Aditi Patel,2025,Lucknow,Python with Data Science,Hot fish husband he scientist interesting build model reality school federal message on former factor order.,Positive,Agreed to join training,
97,Riya Malhotra,2024,Noida,Python with Data Science,Enough gas ability student I score loss six almost throughout run building she realize into.,Positive,Agreed to join training,
98,Rohan Mehta,2024,Noida,MERN Stack,Yes simply foreign middle matter six measure moment receive look.,Positive,Very enthusiastic about the course,
99,Sneha Singh,2023,Noida,Java Full Stack,Attention state ahead maybe strategy determine attack raise than oil mind development difficult recently.,Positive,Agreed to join training,
100,Ishaan Joshi,2024,Lucknow,MERN Stack,Role job lose first eye wait seven agency act five off ago cup appear enough.,Positive,Student showed strong interest,
101,Arjun Jain,2025,Lucknow,MERN Stack,Over kid page large exactly site least old or town property recognize.,Positive,Very enthusiastic about the course,
102,Sneha Reddy,2022,Noida,Java Full Stack,Catch street manage identify success recently establish compare protect degree mother those however water.,Positive,Student showed strong interest,
103,Diya Mehta,2024,Noida,Python with Data Science,Detail quite on benefit page everybody serious talk result reality check bad night ago young body.,Positive,Student showed strong interest,
104,Ishita Mehta,2024,Noida,MERN Stack,Administration beyond live TV Mr join section kind policy win difficult understand speak.,Positive,Agreed to join training,
105,Aarav Gupta,2023,Noida,Python with AI and ML,Forward interesting born style answer hospital term soldier red world.,Positive,Very enthusiastic about the course,
106,Kavya Nair,2022,Noida,MERN Stack,Especially population commercial apply would campaign we dark authority news kind a them floor must.,Positive,Agreed to join training,
107,Aditi Yadav,2022,Lucknow,Python with AI and ML,Over color turn quite effort second commercial rich put.,Positive,Student showed strong interest,
108,Sneha Reddy,2023,Lucknow,Python with AI and ML,Choose this once from take north address allow provide never city.,Positive,Very enthusiastic about the course,
109,Vivaan Kumar,2025,Lucknow,Python with Data Science,Bed family us stand leave grow process like but majority could true teach nearly.,Positive,Student showed strong interest,
110,Kavya Mishra,2023,Lucknow,Python with AI and ML,Star wear lot office red sport drop high government past character street.,Positive,Very enthusiastic about the course,
111,Vihaan Agarwal,2022,Lucknow,Java Full Stack,Professional again beat choose institution station return cold.,Positive,Agreed to join training,
112,Saanvi Mehta,2025,Noida,MERN Stack,Top generation person condition professional heavy marriage this student become fact onto hot south buy later.,Positive,Very enthusiastic about the course,
113,Priya Kumar,2023,Noida,MERN Stack,Morning happen follow nation house health after statement.,Positive,Very enthusiastic about the course,
114,Aarav Mishra,2023,Lucknow,MERN Stack,Million population wall peace quality figure onto.,Positive,Agreed to join training,
115,Sneha Verma,2025,Lucknow,Python with Data Science,No trade long important peace day knowledge student story everyone among me certain.,Positive,Agreed to join training,
116,Aditya Kumar,2023,Noida,Java Full Stack,Approach agency news class next back area everyone process.,Positive,Very enthusiastic about the course,
117,Vivaan Bhatia,2022,Noida,Python with AI and ML,Easy red unit poor assume professional body article less ok myself moment laugh research.,Positive,Very enthusiastic about the course,
118,Aditi Mehta,2024,Noida,MERN Stack,Call nature a service owner cut daughter fast.,Positive,Student showed strong interest,
119,Meera Jain,2023,Lucknow,MERN Stack,Relate modern exactly indicate who like yet focus at order accept.,Positive,Agreed to join training,
120,Aditi Sharma,2025,Noida,Python with AI and ML,Represent behavior effect hand four practice pattern their law develop color animal land plan star.,Positive,Agreed to join training,
121,Kabir Mehta,2022,Noida,Java Full Stack,Prevent remember expect whose none claim computer serious successful story.,Positive,Very enthusiastic about the course,
122,Ananya Verma,2022,Noida,Python with Data Science,Other coach other pass either none onto federal anything perform common camera.,Positive,Agreed to join training,
123,Arjun Yadav,2025,Lucknow,MERN Stack,That force book truth system effort gun.,Positive,Student showed strong interest,
124,Riya Reddy,2023,Lucknow,Java Full Stack,Technology something scientist military vote start simply again hospital already tax receive.,Positive,Agreed to join training,
125,Ananya Patel,2025,Lucknow,Java Full Stack,Space pay wish group especially economic firm leader notice specific truth much mean character.,Positive,Very enthusiastic about the course,
126,Vivaan Singh,2022,Noida,Python with AI and ML,Case but such also dream point prevent media need decision nature less even.,Positive,Very enthusiastic about the course,
127,Aditya Pandey,2025,Noida,Python with Data Science,Drop shake light assume ready until eight audience none cup end.,Positive,Very enthusiastic about the course,
128,Vivaan Patel,2023,Lucknow,Java Full Stack,Form people will less side price listen including change happen all party conference.,Positive,Agreed to join training,
129,Kavya Saxena,2022,Lucknow,Python with Data Science,Physical condition join while stop spring exist painting parent true late conference own bit ability.,Positive,Very enthusiastic about the course,
130,Vihaan Verma,2023,Noida,Python with Data Science,Give probably two catch fear consider central himself successful too heavy glass.,Positive,Agreed to join training,
131,Priya Kumar,2024,Lucknow,MERN Stack,Dinner let to leg present real medical they yard image analysis.,Positive,Student showed strong interest,
132,Krishna Jain,2022,Lucknow,Python with Data Science,Loss PM argue catch article though method message weight light.,Positive,Student showed strong interest,
133,Arjun Mishra,2023,Lucknow,Python with Data Science,Necessary like soldier reflect bar a area because exist man step take certainly age rather.,Positive,Agreed to join training,
134,Sai Saxena,2024,Lucknow,Python with Data Science,Reduce exist industry near fine situation wind value vote within ready.,Positive,Very enthusiastic about the course,
135,Diya Bhatia,2023,Noida,Python with Data Science,Record southern scientist science include energy race control ground may true yard buy born paper.,Positive,Student showed strong interest,
136,Meera Pandey,2024,Noida,Java Full Stack,Such task movie push many blood out if spring table similar live clearly herself.,Positive,Very enthusiastic about the course,
137,Ishita Chopra,2025,Noida,MERN Stack,Company then which hit management else far surface remember.,Positive,Very enthusiastic about the course,
138,Sneha Agarwal,2025,Noida,Python with Data Science,Before realize actually thank race bit security sometimes she skill company over school.,Positive,Very enthusiastic about the course,
139,Kabir Chopra,2024,Noida,MERN Stack,Usually discussion concern concern particularly save check black agent.,Positive,Student showed strong interest,
140,Aditya Saxena,2024,Noida,Python with AI and ML,Between collection Democrat forget huge us fly.,Positive,Agreed to join training,
141,Krishna Bhatia,2024,Lucknow,Java Full Stack,Material find me put support security your fund image indicate body.,Positive,Very enthusiastic about the course,
142,Kavya Mehta,2024,Noida,Python with AI and ML,Production decade upon outside threat easy red commercial writer.,Positive,Agreed to join training,
143,Aarav Jain,2024,Noida,Java Full Stack,Happy technology clear know down his whatever.,Positive,Very enthusiastic about the course,
144,Ishaan Verma,2023,Lucknow,Java Full Stack,Cover catch myself or relate already again high management parent century tonight TV if.,Positive,Student showed strong interest,
145,Vihaan Singh,2025,Lucknow,Python with Data Science,Officer church surface value weight director side choice.,Positive,Student showed strong interest,
146,Priya Patel,2022,Lucknow,Java Full Stack,Agency fill finally partner two sing seat them.,Positive,Student showed strong interest,
147,Ananya Mehta,2025,Lucknow,Java Full Stack,Stand including single raise yourself talk whether drug debate contain fish hand director.,Positive,Student showed strong interest,
148,Riya Mehta,2024,Lucknow,Python with Data Science,Too begin chair social poor hospital yet break message degree.,Positive,Agreed to join training,
149,Riya Kapoor,2023,Noida,Python with AI and ML,Successful wife level morning across try this fine total.,Positive,Agreed to join training,
150,Aarav Singh,2022,Lucknow,Python with AI and ML,Air reality course out say environment manager maintain figure social.,Positive,Agreed to join training,
151,Ishaan Yadav,2025,Noida,Java Full Stack,Wait material west operation character unit marriage blood whether raise night seek sister expect draw once.,Positive,Student showed strong interest,
152,Rohan Joshi,2023,Noida,Python with AI and ML,Me left because natural recognize near safe within camera night front so change try short.,Positive,Agreed to join training,
153,Sai Bhatia,2022,Noida,Java Full Stack,No base appear can she throw down model.,Positive,Very enthusiastic about the course,
154,Kabir Nair,2025,Lucknow,MERN Stack,Within just evidence live of understand might authority which tough suddenly itself serious hit color.,Positive,Student showed strong interest,
155,Kabir Sharma,2024,Lucknow,Python with AI and ML,Yes purpose data protect none activity better property quickly voice visit worry live business better product.,Positive,Student showed strong interest,
156,Arjun Mehta,2024,Noida,Python with Data Science,Voice large wind require later at we sister system story possible imagine worker never almost.,Positive,Student showed strong interest,
157,Aarav Verma,2023,Lucknow,MERN Stack,Tonight beyond customer movie prevent necessary thus Democrat.,Positive,Student showed strong interest,
158,Kabir Malhotra,2025,Noida,MERN Stack,Walk interesting keep guess the great interest card.,Positive,Student showed strong interest,
159,Vihaan Joshi,2024,Lucknow,Java Full Stack,Level break go happy believe little poor exist force.,Positive,Very enthusiastic about the course,
160,Kabir Malhotra,2025,Lucknow,Python with AI and ML,Baby those politics argue heart indicate rise same.,Positive,Student showed strong interest,
161,Priya Nair,2023,Lucknow,Java Full Stack,Service share range first science nearly process we officer leg will.,Positive,Agreed to join training,
162,Krishna Mishra,2024,Lucknow,Python with Data Science,Actually each study play rate forward husband population cultural finally state glass.,Positive,Agreed to join training,
163,Priya Agarwal,2022,Lucknow,Python with Data Science,Foot establish live husband investment democratic everybody rise young all memory style loss.,Positive,Very enthusiastic about the course,
164,Arjun Kapoor,2023,Noida,Java Full Stack,Cell relate amount gun father light meet civil.,Positive,Very enthusiastic about the course,
165,Riya Mehta,2025,Lucknow,Java Full Stack,Picture send speak whole head remember fill stock family tend too hot magazine require itself.,Positive,Student showed strong interest,
166,Ishaan Kapoor,2022,Lucknow,Python with AI and ML,Money family attention physical different officer serve decade line ago song light force.,Positive,Agreed to join training,
167,Ananya Yadav,2022,Noida,Python with AI and ML,None maybe significant price there degree however heart piece process.,Positive,Student showed strong interest,
168,Ishaan Kumar,2024,Noida,Java Full Stack,Building often drive still structure face series Congress bit art send job box whether dark.,Positive,Agreed to join training,
169,Ishita Pandey,2023,Noida,Python with Data Science,Window civil marriage space fall of main stock likely worry her maintain.,Positive,Very enthusiastic about the course,
170,Diya Jain,2025,Noida,MERN Stack,So main gun budget much than wear theory his per piece education man leg record drop.,Positive,Student showed strong interest,
171,Aditya Saxena,2024,Noida,MERN Stack,Hotel task guess hospital list as dream hold be.,Positive,Student showed strong interest,
172,Vivaan Jain,2022,Lucknow,Python with AI and ML,Standard state full mean in image without account raise.,Positive,Student showed strong interest,
173,Rohan Agarwal,2022,Lucknow,Python with AI and ML,Instead continue middle reduce child buy share condition require perform name within song theory.,Positive,Agreed to join training,
174,Krishna Kumar,2024,Noida,Python with Data Science,Late there address above degree stand wait usually month name measure me relate drop fight.,Positive,Very enthusiastic about the course,
175,Ishaan Reddy,2023,Noida,Python with Data Science,Purpose civil clear foot cause address put part network hard late seek radio.,Positive,Agreed to join training,
176,Arjun Mishra,2023,Lucknow,Python with AI and ML,Book world sit population care gas or firm have theory reach white hot list.,Positive,Very enthusiastic about the course,
177,Aarav Chopra,2022,Lucknow,Java Full Stack,Business throw her education deal major quite.,Positive,Agreed to join training,
178,Krishna Joshi,2025,Noida,Python with AI and ML,Create drug nation draw along group present theory reflect marriage.,Positive,Agreed to join training,
179,Aditi Sharma,2025,Lucknow,Python with Data Science,Debate wear just now bring hit total good physical provide leg spring.,Positive,Agreed to join training,
180,Ishaan Reddy,2025,Noida,Java Full Stack,Member board blood later later whether certainly quality energy garden executive create production knowledge.,Positive,Student showed strong interest,
181,Vihaan Joshi,2024,Lucknow,MERN Stack,Audience wait century enough tax hand sit very court.,Positive,Very enthusiastic about the course,
182,Meera Saxena,2025,Lucknow,Java Full Stack,Stuff Congress indicate son eight north sometimes.,Positive,Very enthusiastic about the course,
183,Sai Nair,2024,Lucknow,Python with Data Science,Report line through only person put response determine bad southern today cell discover watch herself.,Positive,Agreed to join training,
184,Arjun Chopra,2022,Noida,Python with AI and ML,Value conference when behavior subject lay true field stock.,Positive,Very enthusiastic about the course,
185,Vihaan Mehta,2022,Lucknow,Python with Data Science,However international sign cup close spring politics say hospital control whether without three player.,Positive,Agreed to join training,
186,Meera Malhotra,2022,Noida,Python with AI and ML,Sure attention east treatment author available know race left item.,Positive,Very enthusiastic about the course,
187,Rohan Agarwal,2025,Lucknow,MERN Stack,Relate issue some toward themselves group morning close career beautiful small another most sometimes ground.,Positive,Agreed to join training,
188,Kavya Jain,2024,Noida,Python with AI and ML,Second so notice miss painting top federal plant add these sound could.,Positive,Agreed to join training,
189,Meera Agarwal,2024,Lucknow,Python with AI and ML,Leader risk level like rise drive once doctor lose each door size out.,Positive,Agreed to join training,
190,Sai Malhotra,2023,Noida,MERN Stack,Prepare ahead beat plan number few million movie available.,Positive,Very enthusiastic about the course,
191,Ananya Patel,2024,Lucknow,Java Full Stack,Stay against beyond such simply special at young hit want social company.,Positive,Very enthusiastic about the course,
192,Ishaan Gupta,2022,Noida,Python with AI and ML,Of toward executive think job right perhaps.,Positive,Student showed strong interest,
193,Ananya Yadav,2022,Noida,Python with AI and ML,Film growth smile stand these buy standard.,Positive,Student showed strong interest,
194,Vivaan Chopra,2022,Lucknow,Python with Data Science,Game chance mission may rise family area finish true tonight.,Positive,Very enthusiastic about the course,
195,Kavya Singh,2023,Lucknow,Java Full Stack,Whether open writer while home fight add agent available.,Positive,Very enthusiastic about the course,
196,Sai Gupta,2023,Lucknow,Python with AI and ML,Soon short beautiful different notice matter various movement suffer heart end rule on listen police.,Positive,Student showed strong interest,
197,Riya Mehta,2022,Noida,Python with AI and ML,Agency present pass score area opportunity hope economy dream.,Positive,Very enthusiastic about the course,
198,Rohan Gupta,2022,Lucknow,Java Full Stack,Character ground water policy front forget change plant place.,Positive,Agreed to join training,
199,Riya Verma,2023,Noida,Python with Data Science,Wish pick agree cover nation wish lead source significant offer vote guy middle sea enter soon.,Positive,Agreed to join training,
200,Diya Sharma,2023,Noida,Java Full Stack,Box far it door painting friend couple nor behind good budget continue according after surface.,Positive,Student showed strong interest,
201,Vivaan Kumar,2022,Noida,Python with Data Science,Trade above center interview serve hand must garden sell bill sister key.,Positive,Very enthusiastic about the course,
202,Riya Patel,2025,Noida,Python with AI and ML,Rate approach its accept it coach teacher away available coach policy.,Positive,Agreed to join training,
203,Ishita Jain,2025,Lucknow,Python with AI and ML,Bag share serve a feel statement staff water common.,Positive,Student showed strong interest,
204,Priya Gupta,2023,Noida,Java Full Stack,Other adult hope member impact create interesting point end loss piece film have game past.,Positive,Student showed strong interest,
205,Vihaan Saxena,2025,Lucknow,Python with AI and ML,Have each machine film yes by Republican.,Positive,Agreed to join training,
206,Arjun Agarwal,2023,Noida,Python with Data Science,Fly central design store wall hard wrong can traditional.,Positive,Agreed to join training,
207,Riya Kumar,2022,Noida,Python with Data Science,Improve memory seat hope evening Congress color ask south movement light meet experience easy.,Positive,Very enthusiastic about the course,
208,Sai Reddy,2024,Noida,Python with AI and ML,Star lead its figure raise happen miss find anything.,Positive,Very enthusiastic about the course,
209,Diya Pandey,2023,Noida,Python with AI and ML,City air almost use book street stock everything election such arm price even young figure.,Positive,Student showed strong interest,
210,Ishaan Mishra,2023,Lucknow,Python with Data Science,Choose computer red brother later explain ahead soon book reality include understand federal offer.,Positive,Very enthusiastic about the course,
211,Rohan Malhotra,2022,Lucknow,Python with Data Science,Ready hospital face choice power within rich current break avoid onto expert song memory member.,Positive,Very enthusiastic about the course,
212,Vihaan Reddy,2024,Lucknow,Java Full Stack,Board try successful structure oil month debate guy read spring radio population young more affect recent.,Positive,Very enthusiastic about the course,
213,Diya Gupta,2022,Noida,Python with Data Science,Recognize production almost national radio I service anything.,Positive,Agreed to join training,
214,Meera Bhatia,2025,Noida,MERN Stack,Step protect five accept skin write increase according attorney.,Positive,Student showed strong interest,
215,Rohan Singh,2022,Noida,Python with AI and ML,Feeling mind size what drop identify hot free billion seat.,Positive,Student showed strong interest,
216,Vivaan Yadav,2025,Noida,Java Full Stack,Small everything improve while return present already face partner live own.,Positive,Agreed to join training,
217,Aarav Saxena,2025,Lucknow,Java Full Stack,Pattern resource street add leave four tend paper fall production executive establish activity.,Positive,Student showed strong interest,
